|Count
anoniem|16518
Luyken, Jan|1928
Picart, Bernard|1504
Rembrandt Harmensz. van Rijn|1384
Fokke, Simon|1267
Houbraken, Jacob|1148
Hooghe, Romeyn de|1119
Callot, Jacques|1013
Meissener Porzellan Manufaktur|1003
Gheyn, Jacob de (II)|893
Passe, Crispijn van de (I)|856
Galle, Philips|838
Goltzius, Hendrick|810
|685
Collaert, Adriaen|649
Hogenberg, Frans|640
Vinkeles, Reinier|623
Bolswert, Boëtius Adamsz.|592
Sadeler, Johann (I)|579
Lepautre, Jean|560
Matham, Jacob|550
Bos, Anthonie van den|534
Bruyn, Nicolaes de|517
Dürer, Albrecht|491
Raimondi, Marcantonio|450
Folkema, Jacob|444
Bagelaar, Ernst Willem Jan|427
Galle, Cornelis (I)|421
Philips, Jan Caspar|418
Jode, Pieter de (II)|410
Bolswert, Schelte Adamsz.|398
Marcus, Jacob Ernst|397
Frisius, Simon|396
Luyken, Caspar|377
Aldegrever, Heinrich|374
Coornhert, Dirck Volckertsz|361
Cort, Cornelis|354
Borch, Gesina ter|354
Rademaker, Abraham|353
Gordon, Robert Jacob|349
Nolpe, Pieter|346
Meer, Noach van der (II)|346
Beham, Hans Sebald|339
Gunst, Pieter van|337
Bloemaert, Frederick|337
Brandes, Jan|334
Sadeler, Aegidius|321
Leyden, Lucas van|320
Bernard, Jean|317
Edelinck, Gerard|316
Tanjé, Pieter|306
Nooms, Reinier|303
Borch, Harmen ter|299
Bye, Marcus de|298
Matham, Theodor|295
Everdingen, Allaert van|284
Marot, Daniël (I)|279
Fock, Hermanus|277
Ploos van Amstel, Cornelis|276
Bry, Theodor de|273
Mare, Pieter de|269
Pronk, Cornelis|262
Doetechum, Johannes of Lucas van|262
Ostade, Adriaen van|251
Nieulandt, Willem van (II)|250
M.O.L.|249
Buys, Jacobus|247
Flamen, Albert|247
Haen, Abraham de (II)|242
Visscher, Claes Jansz. (II)|235
Couwenberg, Henricus Wilhelmus|235
Muller, Jan Harmensz.|233
Bloemaert, Cornelis (II)|229
Claessens, Lambertus Antonius|222
Bendorp, Carel Frederik (I)|221
Philips, Caspar Jacobsz.|220
Laan, Adolf van der|214
Hondius, Hendrick (I)|214
Lairesse, Gerard de|213
Koning, Theodoor|212
Berchem, Nicolaes Pietersz.|208
Hollar, Wenceslaus|208
Delfos, Abraham|206
Bary, Hendrik|205
Harrewijn, Jacobus|203
Bisschop, Jan de|202
Delff, Willem Jacobsz.|201
Bouttats, Gaspar|201
Sadeler, Raphaël (I)|200
Woodbury & Page|200
Borch, Moses ter|198
Janson, Johannes|197
Bleyswyck, François van|197
Ducros, Louis|196
Asser, Eduard Isaac|195
Velde, Esaias van de|192
